Дистр.,Привязка в CRM,Значение привязки в CRM,Клиент,ИНН клиента,Регион,Город,Улица,Информация из CRM по ИНН наименование АС,Информация из CRM по ИНН КАМ АС,Информация из CRM Наименование ЕА,Информация из CRM МП ЕА,Регион МП,Регион в CRM по области аптеки
Фармкомплект,5916027419_b030919ad9460dfaecefcffeed765095,"Нытва-Фарм ООО, г.Воткинск, ул.Кирова,78; 5916027419; 427440, Удмуртская Респ, Воткинск г, Кирова ул, дом № 78; 5916027419_b030919ad9460dfaecefcffeed765095",ОПЕКА Нытва-Фарм ООО г.Ижевск,5916027419,Удмуртская респ.,Удмуртия (Ижевск),"427440, Удмуртская Респ, Воткинск г, Кирова ул, дом № 78",Опека (Планета Здоровья),Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Верхнее Поволжье
Агроресурсы,511462.00,"АЛЕКС МЕД ООО, г.Оренбург, ул.Мусы Джалиля, д.6; Оренбургская обл; Оренбург г; ул. Мусы Джалиля, д. №6, помещение 7М; 511462.00; 5612161733","АЛЕКС МЕД ООО, г.Оренбург, ул.Мусы Джалиля, д.6",5612161733,Оренбургская обл.,Оренбург г,"ул. Мусы Джалиля, д. №6, помещение 7М",АС ЛПУ НПФО,Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,515828.00,"ООО ""АПТЕКОТОВАР"", г.Севастополь, пр-кт Героев Сталинграда, д. 28, А № 8; Севастополь г; (пусто); ул. пр-кт Героев Сталинграда, д. 28; 515828.00; 9203002578","ООО ""АПТЕКОТОВАР"", г.Севастополь, пр-кт Героев Сталинграда, д. 28, А № 8",9203002578,СЕВАСТОПОЛЬ,(пусто),"ул. пр-кт Героев Сталинграда, д. 28",АВиК  (АСНА),Алиев Исмаил,Нет в CRM,Нет в CRM,Нет в CRM,Северный Кавказ
Агроресурсы,18963.00,"ЗАО ""Клиника Санитас""; Новосибирская обл; Искитим г; ул. Молдавская, д. 50; 18963.00; 5446109269","ЗАО ""Клиника Санитас""",5446109269,Новосибирская обл.,Искитим г,"ул. Молдавская, д. 50","ЗАО ""Клиника Санитас"" ",Калустов Борис,Нет в CRM,Нет в CRM,Нет в CRM,Западная Сибирь
Агроресурсы,517431.00,"АО ""ОАС"", АП №217, г. Куса Западное направление; Челябинская обл; Куса г; ул. Бубнова, д. 28; 517431.00; 7451344670","АО ""ОАС"", АП №217, г. Куса Западное направление",7451344670,Челябинская обл.,Куса г,"ул. Бубнова, д. 28","АО ""ОАС"" (АСНА)",Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,517266.00,"АО ""ОАС"", АП №288, Северное направление; Челябинская обл; Халитово с; ул. Пионерская, д. 2а; 517266.00; 7451344670","АО ""ОАС"", АП №288, Северное направление",7451344670,Челябинская обл.,Халитово с,"ул. Пионерская, д. 2а","АО ""ОАС"" (АСНА)",Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,518076.00,"АО ""ОАС"", АП №294, Магнитогорское направление; Челябинская обл; Южный рп; ул. Островского , д. 3/1; 518076.00; 7451344670","АО ""ОАС"", АП №294, Магнитогорское направление",7451344670,Челябинская обл.,Южный рп,"ул. Островского , д. 3/1","АО ""ОАС"" (АСНА)",Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,518407.00,"АО ""ОАС"", Аптека №320, Западное направление; Челябинская обл; Усть-Катав г; ул. МКР-2, д. 46; 518407.00; 7451344670","АО ""ОАС"", Аптека №320, Западное направление",7451344670,Челябинская обл.,Усть-Катав г,"ул. МКР-2, д. 46","АО ""ОАС"" (АСНА)",Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,518406.00,"АО ""ОАС"", Аптека №321, Западное направление; Челябинская обл; Усть-Катав г; ул. МКР-3, д. 10; 518406.00; 7451344670","АО ""ОАС"", Аптека №321, Западное направление",7451344670,Челябинская обл.,Усть-Катав г,"ул. МКР-3, д. 10","АО ""ОАС"" (АСНА)",Ганченко Алена,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,47383.00,"АО ""Тандер"" (ТМН) ул.Машиностроителей д.21; Свердловская обл; Верхняя Тура г; ул. Машиностроителей, д. 21; 47383.00; 2310031475","АО ""Тандер"" (ТМН) ул.Машиностроителей д.21",2310031475,Свердловская обл.,Верхняя Тура г,"ул. Машиностроителей, д. 21",Магнит АО Тандер,Пономаренко Светлана,Нет в CRM,Нет в CRM,Нет в CRM,Урал
Агроресурсы,512979.00,"Аптека 222 ООО,г.Новокуйбышевск, ул. проспект Победы д.36; Самарская обл; Новокуйбышевск г; проспект Победы, д. 36, корп. 1 этаж, позиция 1 (; 512979.00; 6311062723","Аптека 222 ООО,г.Новокуйбышевск, ул. проспект Победы д.36",6311062723,Самарская обл.,Новокуйбышевск г,"проспект Победы, д. 36, корп. 1 этаж, позиция 1 (",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
Агроресурсы,511857.00,"Аптека 222 ООО,г.Самара,ул. Куйбышева 75; Самарская обл; Самара г; ул. Куйбышева, д. 75; 511857.00; 6311062723","Аптека 222 ООО,г.Самара,ул. Куйбышева 75",6311062723,Самарская обл.,Самара г,"ул. Куйбышева, д. 75",АС Аптека 245  (АСНА),Романовская Людмила,Нет в CRM,Нет в CRM,Нет в CRM,Нижнее Поволжье
